"No.","Time","Source","Destination","Protocol","Length","Info"
"36469","162.578577","192.168.9.60","192.168.31.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"36470","162.602122","fe80::1aa6:f7ff:fed2:17d","ff02::1:2","DHCPv6","128","Solicit XID: 0xc41ea4 CID: 00010001215f16ab18a6f7d2017d "
"36471","162.614137","192.168.3.117","255.255.255.255","DHCP","342","DHCP NAK      - Transaction ID 0xeafa8c3c"
"36472","162.631920","192.168.9.73","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"36474","162.652888","10.10.12.59","10.10.15.255","NBNS","92","Name query NB DSP11<20>"
"36479","162.670795","192.168.17.154","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"36487","162.743614","0.0.0.0","255.255.255.255","DHCP","356","DHCP Discover - Transaction ID 0x2b217383"
"36494","162.776193","192.168.3.140","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"36496","162.784988","192.168.14.150","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"36497","162.792680","192.168.9.72","192.168.31.255","NBNS","92","Name query NB OFFICE-38F3BA65<20>"
"36498","162.819442","192.168.9.73","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"36500","162.856255","192.168.15.171","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"36501","162.865991","fe80::744d:feeb:4113:8526","ff02::1:3","LLMNR","95","Standard query 0x7751  AAAA WIN-JJVQTFUFFR8"
"36502","162.866179","192.168.16.144","224.0.0.252","LLMNR","75","Standard query 0x7751  AAAA WIN-JJVQTFUFFR8"
"36503","162.885625","192.168.3.149","192.168.31.255","NBNS","92","Name query NB WORKGROUP<1c>"
"36504","162.898877","10.10.11.189","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"36506","162.921421","fe80::8127:21ac:9828:c2e0","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"36509","162.958120","10.10.10.91","10.10.15.255","NBNS","92","Name query NB EDLAB13<20>"
"36511","162.972740","192.168.4.101","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"36512","162.974475","fe80::744d:feeb:4113:8526","ff02::1:3","LLMNR","95","Standard query 0x7751  AAAA WIN-JJVQTFUFFR8"
"36513","162.974506","192.168.16.144","224.0.0.252","LLMNR","75","Standard query 0x7751  AAAA WIN-JJVQTFUFFR8"
"36519","163.040617","192.168.9.72","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"36520","163.055356","10.10.10.240","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"36522","163.062417","192.168.16.157","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"36523","163.064059","192.168.3.24","192.168.3.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"36524","163.066601","192.168.9.146","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"36534","163.163196","192.168.3.190","192.168.31.255","NBNS","92","Name query NB 4NBIZAC8.RU<00>"
"36537","163.184529","192.168.3.209","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"36538","163.190881","192.168.3.117","255.255.255.255","DHCP","342","DHCP Offer    - Transaction ID 0x2b217383"
"36543","163.216520","0.0.0.0","255.255.255.255","DHCP","368","DHCP Request  - Transaction ID 0x2b217383"
"36544","163.216557","192.168.6.148","255.255.255.255","DHCP","342","DHCP NAK      - Transaction ID 0x2b217383"
"36547","163.237770","0.0.0.0","255.255.255.255","DHCP","356","DHCP Discover - Transaction ID 0x6e88141"
"36548","163.254847","0.0.0.0","255.255.255.255","DHCP","368","DHCP Request  - Transaction ID 0x6e88141"
"36549","163.254892","192.168.6.148","255.255.255.255","DHCP","342","DHCP NAK      - Transaction ID 0x6e88141"
"36550","163.255753","192.168.1.25","192.168.1.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"36557","163.312539","10.10.14.87","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"36558","163.314636","192.168.20.141","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"36560","163.318095","192.168.3.221","192.168.3.255","NBNS","92","Name query NB WPAD<00>"
"36561","163.318670","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","84","Standard query 0xfa40  A wpad"
"36562","163.318844","192.168.3.221","224.0.0.252","LLMNR","64","Standard query 0xfa40  A wpad"
"36563","163.319379","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","84","Standard query 0x365f  AAAA wpad"
"36564","163.319493","192.168.3.221","224.0.0.252","LLMNR","64","Standard query 0x365f  AAAA wpad"
"36566","163.321427","fe80::21e1:a200:ff2e:5b58","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"36567","163.321462","192.168.9.250","192.168.31.255","NBNS","92","Name query NB EXAM<1c>"
"36568","163.345307","fe80::3536:4667:ebad:b013","ff02::1:2","DHCPv6","150","Solicit XID: 0xa1c6db CID: 000100011d77a2e7001aa0b10e1e "
"36571","163.381906","192.168.9.73","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"36576","163.402789","10.10.12.59","10.10.15.255","NBNS","92","Name query NB DSP11<20>"
"36577","163.413055","192.168.15.162","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"36580","163.461107","192.168.20.141","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"36581","163.464548","192.168.3.117","255.255.255.255","DHCP","342","DHCP ACK      - Transaction ID 0x2b217383"
"36587","163.526256","192.168.3.140","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"36589","163.542758","192.168.9.72","192.168.31.255","NBNS","92","Name query NB OFFICE-38F3BA65<20>"
"36590","163.549937","fe80::4046:d001:d60a:e934","ff02::1:3","LLMNR","95","Standard query 0x0f61  AAAA WIN-JJVQTFUFFR8"
"36591","163.550007","192.168.14.150","224.0.0.252","LLMNR","75","Standard query 0x0f61  AAAA WIN-JJVQTFUFFR8"
"36594","163.571753","fe80::81c1:c45b:de22:a737","ff02::1:2","DHCPv6","147","Solicit XID: 0x541be2 CID: 00010001189955e990b11c729f91 "
"36595","163.612960","192.168.15.171","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"36596","163.650077","192.168.3.149","192.168.31.255","NBNS","92","Name query NB WORKGROUP<1c>"
"36597","163.658642","fe80::4046:d001:d60a:e934","ff02::1:3","LLMNR","95","Standard query 0x0f61  AAAA WIN-JJVQTFUFFR8"
"36598","163.658672","192.168.14.150","224.0.0.252","LLMNR","75","Standard query 0x0f61  AAAA WIN-JJVQTFUFFR8"
"36600","163.682118","192.168.17.154","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"36601","163.684477","192.168.20.140","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"36602","163.687631","10.10.11.127","10.10.15.255","BROWSER","220","Request Announcement VLSI-PC"
"36604","163.701028","192.168.20.5","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"36605","163.705238","192.168.3.95","192.168.31.255","BROWSER","249","Domain/Workgroup Announcement MSHOME, NT Workstation, Domain Enum"
