"No.","Time","Source","Destination","Protocol","Length","Info"
"12","0.035021","10.10.14.44","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"15","0.071563","192.168.3.207","192.168.31.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"23","0.140414","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"24","0.165167","192.168.3.209","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"26","0.179712","192.168.9.131","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"27","0.227693","fe80::21e1:a200:ff2e:5b58","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"30","0.232695","192.168.15.171","192.168.31.255","NBNS","92","Name query NB G.CEIPMSN.COM<00>"
"41","0.285230","192.168.3.208","192.168.31.255","NBNS","92","Name query NB WPAD.<00>"
"90","0.332511","10.10.14.78","224.0.0.251","MDNS","103","Standard query 0x0003  PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"93","0.332642","192.168.7.148","224.0.0.251","MDNS","60","Standard query response 0x0000 "
"112","0.355597","10.10.10.123","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"116","0.358280","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","84","Standard query 0xa783  A wpad"
"118","0.358379","192.168.3.221","224.0.0.252","LLMNR","64","Standard query 0xa783  A wpad"
"121","0.361166","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","84","Standard query 0x4eca  AAAA wpad"
"123","0.361261","192.168.3.221","224.0.0.252","LLMNR","64","Standard query 0x4eca  AAAA wpad"
"131","0.370815","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","152","Standard query 0xf083  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"132","0.370861","192.168.3.221","224.0.0.252","LLMNR","132","Standard query 0xf083  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"179","0.424529","192.168.28.35","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"190","0.433163","192.168.28.38","224.0.0.252","LLMNR","75","Standard query 0x3275  AAAA WIN-JJVQTFUFFR8"
"191","0.434373","192.168.3.206","192.168.31.255","NBNS","92","Name query NB ROBOTICS<1c>"
"192","0.436873","192.168.9.184","192.168.9.255","NBNS","92","Name query NB PING.AVAST.COM<00>"
"193","0.440727","fe80::104b:adee:75e6:c425","ff02::1:3","LLMNR","95","Standard query 0x4b86  AAAA WIN-JJVQTFUFFR8"
"194","0.440997","192.168.14.61","224.0.0.252","LLMNR","75","Standard query 0x4b86  AAAA WIN-JJVQTFUFFR8"
"198","0.464548","192.168.4.101","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"199","0.466755","fe80::e899:472b:c46e:3052","ff02::1:2","DHCPv6","154","Solicit XID: 0x1dd5e8 CID: 00010001213ad0f3484d7ec54728 "
"207","0.499707","192.168.3.208","192.168.31.255","NBNS","92","Name query NB ROBO21<20>"
"211","0.503454","192.168.3.208","192.168.31.255","NBNS","92","Name query NB ROBO21<00>"
"237","0.537242","192.168.28.35","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"244","0.541792","192.168.28.38","224.0.0.252","LLMNR","75","Standard query 0x3275  AAAA WIN-JJVQTFUFFR8"
"252","0.549722","fe80::104b:adee:75e6:c425","ff02::1:3","LLMNR","95","Standard query 0x4b86  AAAA WIN-JJVQTFUFFR8"
"255","0.549802","192.168.14.61","224.0.0.252","LLMNR","75","Standard query 0x4b86  AAAA WIN-JJVQTFUFFR8"
"336","0.659967","10.10.13.73","10.10.15.255","NBNS","92","Name query NB DMM<1c>"
"346","0.674658","192.168.3.221","192.168.3.255","NBNS","92","Name query NB WPAD<00>"
"354","0.708949","10.10.15.19","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"365","0.776583","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","152","Standard query 0xf083  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"366","0.776641","192.168.3.221","224.0.0.252","LLMNR","132","Standard query 0xf083  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"375","0.821521","192.168.3.207","192.168.31.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"378","0.876980","192.168.3.140","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"384","0.919694","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"385","0.921282","10.10.11.89","10.10.15.255","BROWSER","231","Browser Election Request"
"394","0.962203","192.168.9.131","192.168.31.255","NBNS","92","Name query NB ISATAP<00>"
"399","0.997099","192.168.15.171","192.168.31.255","NBNS","92","Name query NB G.CEIPMSN.COM<00>"
"404","1.034901","192.168.3.208","192.168.31.255","NBNS","92","Name query NB WPAD.<00>"
"406","1.042971","10.10.14.44","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"427","1.184667","192.168.9.184","192.168.9.255","NBNS","92","Name query NB PING.AVAST.COM<00>"
"430","1.234026","10.10.14.167","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"437","1.253415","192.168.3.208","192.168.31.255","NBNS","92","Name query NB ROBO21<00>"
"442","1.313174","192.168.6.231","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"450","1.362005","10.10.10.123","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"458","1.404203","10.10.13.73","10.10.15.255","NBNS","92","Name query NB DMM<1c>"
"463","1.424752","192.168.3.221","192.168.3.255","NBNS","92","Name query NB WPAD<00>"
"465","1.469729","fe80::e899:472b:c46e:3052","ff02::1:2","DHCPv6","154","Solicit XID: 0x1dd5e8 CID: 00010001213ad0f3484d7ec54728 "
"476","1.574789","192.168.3.207","192.168.31.255","NBNS","92","Name query NB YAHOO.COM<00>"
"491","1.669523","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"494","1.684325","192.168.9.73","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"495","1.684419","192.168.9.73","224.0.0.252","LLMNR","75","Standard query 0xd2ba  A WIN-JJVQTFUFFR8"
"503","1.717980","10.10.15.19","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"504","1.721362","192.168.9.131","192.168.31.255","NBNS","92","Name query NB ISATAP<00>"
"526","1.784808","192.168.15.171","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"529","1.820165","10.10.10.221","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"539","1.934602","192.168.9.184","192.168.9.255","NBNS","92","Name query NB PING.AVAST.COM<00>"
"542","1.991054","192.168.15.162","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"549","2.002758","192.168.3.208","192.168.31.255","NBNS","92","Name query NB ROBO21<00>"
"554","2.018613","192.168.3.208","192.168.31.255","BROWSER","243","Host Announcement ROBO-08, Workstation, Server, NT Workstation, Potential Browser, Backup Browser"
"559","2.044327","10.10.13.224","10.10.10.1","DNS","76","Standard query 0x6c49  A www.google.co.in"
"560","2.044347","10.10.13.224","10.10.10.1","DNS","76","Standard query 0x216a  AAAA www.google.co.in"
"561","2.045112","10.10.10.1","10.10.13.224","DNS","92","Standard query response 0x6c49  A 216.58.197.67"
"562","2.045189","10.10.10.1","10.10.13.224","DNS","104","Standard query response 0x216a  AAAA 2404:6800:4007:801::2003"
"569","2.105347","192.168.9.73","224.0.0.252","LLMNR","75","Standard query 0xd2ba  A WIN-JJVQTFUFFR8"
"576","2.137386","fe80::1aa6:f7ff:fed2:17d","ff02::1:2","DHCPv6","128","Solicit XID: 0xe7da96 CID: 00010001215f15fe18a6f7d2017d "
"580","2.167374","192.168.17.71","224.0.0.252","LLMNR","72","Standard query 0x3b8f  A principal-pc"
"581","2.167451","192.168.17.71","224.0.0.252","LLMNR","75","Standard query 0x1ac4  A WIN-JJVQTFUFFR8"
"582","2.168444","10.10.13.73","10.10.15.255","NBNS","92","Name query NB DMM<1c>"
"588","2.225177","192.168.3.221","192.168.3.255","NBNS","92","Name query NB ISATAP<00>"
"589","2.225699","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","86","Standard query 0x89dc  A isatap"
"590","2.225762","192.168.3.221","224.0.0.252","LLMNR","66","Standard query 0x89dc  A isatap"
"600","2.269624","fe80::edf2:c209:bbb8:dcbf","ff02::1:3","LLMNR","84","Standard query 0x2fbb  A wpad"
"601","2.270992","192.168.5.70","224.0.0.252","LLMNR","64","Standard query 0x2fbb  A wpad"
"604","2.275640","192.168.17.71","224.0.0.252","LLMNR","72","Standard query 0x3b8f  A principal-pc"
"605","2.275723","192.168.17.71","224.0.0.252","LLMNR","75","Standard query 0x1ac4  A WIN-JJVQTFUFFR8"
"606","2.280814","192.168.16.104","255.255.255.255","UDP","743","Source port: 40498  Destination port: 55526"
"613","2.317455","192.168.16.104","255.255.255.255","UDP","743","Source port: 52868  Destination port: 55526"
"614","2.323812","192.168.6.231","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"616","2.324419","192.168.3.207","192.168.31.255","NBNS","92","Name query NB YAHOO.COM<00>"
"617","2.339141","192.168.16.104","255.255.255.255","UDP","743","Source port: 48743  Destination port: 55526"
"628","2.367032","fe80::edf2:c209:bbb8:dcbf","ff02::1:3","LLMNR","84","Standard query 0x2fbb  A wpad"
"629","2.367100","192.168.5.70","224.0.0.252","LLMNR","64","Standard query 0x2fbb  A wpad"
"632","2.376633","fe80::709b:2977:8afd:eb1","ff02::1:3","LLMNR","88","Standard query 0xcc11  ANY shree-pc"
"673","2.420638","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"694","2.434217","192.168.9.73","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"736","2.481081","192.168.17.71","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"737","2.481113","192.168.17.71","192.168.31.255","NBNS","92","Name query NB PRINCIPAL-PC<00>"
"742","2.486558","192.168.9.131","192.168.31.255","NBNS","92","Name query NB ISATAP<00>"
"772","2.518495","192.168.16.26","224.0.0.252","LLMNR","68","Standard query 0xcc11  ANY shree-pc"
"776","2.527450","fe80::709b:2977:8afd:eb1","ff02::1:2","DHCPv6","150","Solicit XID: 0x593c90 CID: 000100011f5eb4ed507b9dfd4e02 "
"792","2.541521","192.168.15.171","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"815","2.571000","192.168.5.70","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"880","2.651854","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","86","Standard query 0x89dc  A isatap"
"883","2.651920","192.168.3.221","224.0.0.252","LLMNR","66","Standard query 0x89dc  A isatap"
"908","2.691617","10.10.11.201","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"910","2.731976","10.10.15.19","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"911","2.737113","192.168.15.162","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"915","2.751684","192.168.3.208","192.168.31.255","NBNS","92","Name query NB ROBO21<00>"
"924","2.810456","192.168.9.208","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"930","2.914874","fe80::709b:2977:8afd:eb1","ff02::1:3","LLMNR","84","Standard query 0x7513  A wpad"
"932","2.924265","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xc44b7b18"
"938","2.980838","192.168.3.221","192.168.3.255","NBNS","92","Name query NB ISATAP<00>"
"940","3.042630","fe80::b1b6:f015:7402:452e","ff02::1:2","DHCPv6","150","Solicit XID: 0x62494a CID: 000100011ed86388f48e38874154 "
"942","3.063126","fe80::709b:2977:8afd:eb1","ff02::1:3","LLMNR","84","Standard query 0x6338  A wpad"
"943","3.074449","192.168.3.207","192.168.31.255","NBNS","92","Name query NB YAHOO.COM<00>"
"946","3.094754","192.168.3.148","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"951","3.136993","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","152","Standard query 0x0bd0  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"952","3.137033","192.168.3.221","224.0.0.252","LLMNR","132","Standard query 0x0bd0  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"954","3.146210","192.168.16.26","224.0.0.252","LLMNR","64","Standard query 0x7513  A wpad"
"956","3.160257","192.168.16.26","224.0.0.252","LLMNR","64","Standard query 0x6338  A wpad"
"960","3.183614","192.168.9.73","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"964","3.236069","fe80::21e1:a200:ff2e:5b58","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"966","3.242713","192.168.17.71","192.168.31.255","NBNS","92","Name query NB PRINCIPAL-PC<00>"
"967","3.242767","192.168.17.71","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"968","3.255867","10.10.15.40","224.0.0.252","LLMNR","69","Standard query 0x7ebb  A KBLPMCF01"
"969","3.256419","10.10.15.40","224.0.0.252","LLMNR","69","Standard query 0xeafe  AAAA KBLPMCF01"
"970","3.258621","10.10.12.180","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"974","3.305962","192.168.15.171","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"975","3.320129","192.168.5.70","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"976","3.324911","192.168.6.231","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"977","3.326116","192.168.20.141","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"982","3.383385","192.168.3.117","255.255.255.255","DHCP","342","DHCP Offer    - Transaction ID 0xc44b7b18"
"983","3.393117","192.168.9.60","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"988","3.431858","10.10.11.171","224.0.0.251","MDNS","103","Standard query 0x0003  PTR _8DA7527D._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"989","3.432171","192.168.7.148","224.0.0.251","MDNS","60","Standard query response 0x0000 "
"990","3.438922","192.168.20.141","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"992","3.471411","192.168.15.162","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"993","3.482514","fe80::e899:472b:c46e:3052","ff02::1:2","DHCPv6","154","Solicit XID: 0x1dd5e8 CID: 00010001213ad0f3484d7ec54728 "
"998","3.551176","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","152","Standard query 0x0bd0  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"999","3.551214","192.168.3.221","224.0.0.252","LLMNR","132","Standard query 0x0bd0  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"1002","3.572460","192.168.9.208","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"1005","3.588987","10.10.15.40","10.10.15.255","NBNS","92","Name query NB KBLPMCF01<00>"
"1007","3.630870","fe80::efad:a99f:9159:5a63","ff02::1:2","DHCPv6","152","Rebind XID: 0xfae645 CID: 0004949c95922bdd0917d7045d51c8773dfe IAA: fd4d:e1dd:ef85::e68 "
"1008","3.633227","169.254.194.224","169.254.255.255","UDP","60","Source port: micromuse-lm  Destination port: micromuse-lm"
"1009","3.667546","192.168.3.190","192.168.31.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"1013","3.696013","192.168.20.5","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"1015","3.696617","192.168.20.140","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"1016","3.696640","192.168.14.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"1019","3.732297","10.10.15.19","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"1020","3.734493","192.168.3.221","192.168.3.255","NBNS","92","Name query NB ISATAP<00>"
"1033","3.805198","192.168.20.5","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"1036","3.819370","192.168.20.140","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"1038","3.830323","192.168.3.207","192.168.31.255","NBNS","92","Name query NB GVAQ70S7HE.RU<00>"
"1040","3.842820","192.168.3.148","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"1041","3.846086","fe80::948e:162:bc63:20e0","ff02::1:2","DHCPv6","150","Solicit XID: 0xf63ecd CID: 000100012115f3097845c42782ad "
"1056","3.934285","192.168.9.73","224.0.0.252","LLMNR","75","Standard query 0xbf4b  AAAA WIN-JJVQTFUFFR8"
"1057","3.965365","192.168.16.157","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"1064","4.007146","192.168.17.71","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"1065","4.007188","192.168.17.71","192.168.31.255","NBNS","92","Name query NB PRINCIPAL-PC<00>"
"1067","4.044552","fe80::b1b6:f015:7402:452e","ff02::1:2","DHCPv6","150","Solicit XID: 0x62494a CID: 000100011ed86388f48e38874154 "
"1069","4.048511","10.10.10.123","10.10.15.255","UDP","63","Source port: 57660  Destination port: 32412"
"1070","4.048905","10.10.10.123","10.10.15.255","UDP","63","Source port: 57659  Destination port: 32414"
"1072","4.070116","192.168.5.70","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"1073","4.071912","192.168.15.171","192.168.31.255","NBNS","92","Name query NB G.CEIPMSN.COM<00>"
"1077","4.097876","192.168.17.154","255.255.255.255","UDP","82","Source port: 51600  Destination port: sentinelsrm"
"1082","4.119563","fe80::709b:2977:8afd:eb1","ff02::1:3","LLMNR","88","Standard query 0xcc11  ANY shree-pc"
"1090","4.172742","10.10.14.190","10.10.15.255","BROWSER","217","Become Backup Browser"
"1096","4.226480","fe80::55db:8e5e:f749:844c","ff02::1:2","DHCPv6","156","Solicit XID: 0xf24ff3 CID: 0001000120f0cff0f48e388742a3 "
"1100","4.235137","10.10.14.167","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"1101","4.244828","10.10.12.180","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"1103","4.255896","192.168.7.234","192.168.31.255","NBNS","92","Name query NB ADMIN-PC<1c>"
"1106","4.276554","192.168.7.246","255.255.255.255","UDP","180","Source port: 55255  Destination port: 55255"
"1120","4.324788","10.10.15.40","10.10.15.255","NBNS","92","Name query NB KBLPMCF01<00>"
"1123","4.326079","192.168.6.231","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"1131","4.336945","192.168.9.208","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"1160","4.359505","192.168.9.73","224.0.0.252","LLMNR","75","Standard query 0xbf4b  AAAA WIN-JJVQTFUFFR8"
"1190","4.393990","192.168.9.60","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"1200","4.405711","10.10.14.112","224.0.0.252","LLMNR","72","Standard query 0x1ab3  AAAA principal-pc"
"1224","4.431179","192.168.3.190","192.168.31.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"1240","4.447589","192.168.14.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"1272","4.469846","fe80::6522:e4eb:3e43:9a64","ff02::1:3","LLMNR","84","Standard query 0x91bb  A wpad"
"1273","4.469887","192.168.3.109","224.0.0.252","LLMNR","64","Standard query 0x91bb  A wpad"
"1311","4.512556","10.10.14.112","224.0.0.252","LLMNR","72","Standard query 0x1ab3  AAAA principal-pc"
"1342","4.548645","10.10.10.75","239.255.255.250","SSDP","555","NOTIFY * HTTP/1.1 "
"1343","4.548683","fe80::84bd:4f03:d16d:7571","ff02::c","SSDP","585","NOTIFY * HTTP/1.1 "
"1346","4.549932","10.10.10.75","239.255.255.250","SSDP","541","NOTIFY * HTTP/1.1 "
"1347","4.549962","fe80::84bd:4f03:d16d:7571","ff02::c","SSDP","571","NOTIFY * HTTP/1.1 "
"1350","4.553609","10.10.10.75","239.255.255.250","SSDP","527","NOTIFY * HTTP/1.1 "
"1351","4.553640","fe80::84bd:4f03:d16d:7571","ff02::c","SSDP","557","NOTIFY * HTTP/1.1 "
"1352","4.553654","10.10.10.75","239.255.255.250","SSDP","484","NOTIFY * HTTP/1.1 "
"1353","4.553661","fe80::84bd:4f03:d16d:7571","ff02::c","SSDP","514","NOTIFY * HTTP/1.1 "
"1354","4.555196","10.10.10.75","239.255.255.250","SSDP","475","NOTIFY * HTTP/1.1 "
"1355","4.555226","fe80::84bd:4f03:d16d:7571","ff02::c","SSDP","505","NOTIFY * HTTP/1.1 "
"1356","4.556751","10.10.10.75","239.255.255.250","SSDP","539","NOTIFY * HTTP/1.1 "
"1357","4.556780","fe80::84bd:4f03:d16d:7571","ff02::c","SSDP","569","NOTIFY * HTTP/1.1 "
"1365","4.569806","fe80::6522:e4eb:3e43:9a64","ff02::1:3","LLMNR","84","Standard query 0x91bb  A wpad"
"1366","4.569871","192.168.3.109","224.0.0.252","LLMNR","64","Standard query 0x91bb  A wpad"
"1368","4.579306","192.168.3.207","192.168.31.255","NBNS","92","Name query NB GVAQ70S7HE.RU<00>"
"1375","4.593127","192.168.3.148","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"1401","4.626501","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"1419","4.651919","10.10.13.73","224.0.0.252","LLMNR","72","Standard query 0x5bac  AAAA principal-pc"
"1425","4.758266","10.10.13.73","224.0.0.252","LLMNR","72","Standard query 0x5bac  AAAA principal-pc"
"1428","4.762900","fe80::84bd:4f03:d16d:7571","ff02::1:3","LLMNR","87","Standard query 0xc324  ANY MPLAB01"
"1429","4.763360","10.10.10.75","224.0.0.252","LLMNR","67","Standard query 0xc324  ANY MPLAB01"
"1433","4.768423","192.168.15.151","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"1435","4.770035","192.168.3.109","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"1436","4.772301","192.168.17.71","224.0.0.252","LLMNR","72","Standard query 0x867e  AAAA principal-pc"
"1437","4.772323","192.168.17.71","224.0.0.252","LLMNR","75","Standard query 0x62f3  AAAA WIN-JJVQTFUFFR8"
"1443","4.829634","10.10.10.221","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"1444","4.834786","192.168.15.171","192.168.31.255","NBNS","92","Name query NB G.CEIPMSN.COM<00>"
"1445","4.846182","fe80::1dca:b17d:6758:e590","ff02::1:2","DHCPv6","149","Solicit XID: 0x774519 CID: 0001000121210c0400219703b0ef "
"1446","4.863604","fe80::84bd:4f03:d16d:7571","ff02::1:3","LLMNR","87","Standard query 0xc324  ANY MPLAB01"
"1447","4.863634","10.10.10.75","224.0.0.252","LLMNR","67","Standard query 0xc324  ANY MPLAB01"
"1450","4.880798","192.168.17.71","224.0.0.252","LLMNR","72","Standard query 0x867e  AAAA principal-pc"
"1451","4.880845","192.168.17.71","224.0.0.252","LLMNR","75","Standard query 0x62f3  AAAA WIN-JJVQTFUFFR8"
"1453","4.895091","192.168.3.221","192.168.3.255","NBNS","92","Name query NB WPAD<00>"
"1454","4.895472","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","84","Standard query 0x9c6c  A wpad"
"1455","4.895577","192.168.3.221","224.0.0.252","LLMNR","64","Standard query 0x9c6c  A wpad"
"1456","4.895962","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","84","Standard query 0xa7a5  AAAA wpad"
"1457","4.895989","192.168.3.221","224.0.0.252","LLMNR","64","Standard query 0xa7a5  AAAA wpad"
"1458","4.916960","0.0.0.0","255.255.255.255","DHCP","352","DHCP Request  - Transaction ID 0xc44b7b18"
"1459","4.916991","192.168.6.148","255.255.255.255","DHCP","342","DHCP NAK      - Transaction ID 0xc44b7b18"
"1466","5.005044","192.168.7.234","192.168.31.255","NBNS","92","Name query NB ADMIN-PC<1c>"
"1467","5.024580","10.10.11.230","224.0.0.251","MDNS","312","Standard query 0x0000  TXT ADMIN-PC._smb._tcp.local, ""QM"" question SRV TOSHIBA-PC._smb._tcp.local, ""QM"" question SRV Yugawat\\342\\200\\231s MacBook Pro._sftp-ssh._tcp.local, ""QM"" question SRV Yugawat\\342\\200\\231s MacBook Pro._smb._tcp.local, ""QM"" question SRV Yugawat\\342\\200\\231s MacBook Pro._afpovertcp._tcp.local, ""QM"" question TXT Yugawat\\342\\200\\231s MacBook Pro._sftp-ssh._tcp.local, ""QM"" question TXT Yugawat\\342\\200\\231s MacBook Pro._smb._tcp.local, ""QM"" question TXT Yugawat\\342\\200\\231s MacBook Pro._afpovertcp._tcp.local, ""QM"" question TXT TOSHIBA-PC._smb._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question SRV ADMIN-PC._smb._tcp.local, ""QM"" question"
"1468","5.024615","192.168.7.148","224.0.0.251","MDNS","60","Standard query response 0x0000 "
"1473","5.048269","10.10.10.75","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"1475","5.064523","fe80::84bd:4f03:d16d:7571","ff02::1:3","LLMNR","87","Standard query 0x4019  ANY MPLAB01"
"1476","5.064699","10.10.10.75","224.0.0.252","LLMNR","67","Standard query 0x4019  ANY MPLAB01"
"1483","5.074743","192.168.7.234","224.0.0.251","MDNS","219","Standard query response 0x0000  SRV, cache flush 0 0 445 ADMIN-PC.local TXT, cache flush PTR ADMIN-PC._smb._tcp.local"
"1491","5.137515","192.168.9.73","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"1492","5.137847","192.168.9.73","224.0.0.252","LLMNR","64","Standard query 0x86f1  A wpad"
"1496","5.164578","fe80::84bd:4f03:d16d:7571","ff02::1:3","LLMNR","87","Standard query 0x4019  ANY MPLAB01"
"1497","5.164630","10.10.10.75","224.0.0.252","LLMNR","67","Standard query 0x4019  ANY MPLAB01"
"1499","5.195425","192.168.14.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"1500","5.195474","192.168.3.190","192.168.31.255","NBNS","92","Name query NB GOOGLE.COM<00>"
"1503","5.227362","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","152","Standard query 0x20c8  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
